thrid,emails,people,time duration,date,to,from
1523322322643502267,16,3,15,"Jan 27, 2016 20:19:33","['4bcd7a2cbb4e8c2e9e88f920ab465252b8f8f71cccb6098f14466ee8', '0ed4e827fcaa19e68b9c8a65c9db39410939b1d92358edd4b6a40174']",fb72e487a49b8feb20f94b5d809a67faf82415cc6b38ca6f03468647
1523322322643502267,16,3,15,"Jan 27, 2016 18:31:42",['fb72e487a49b8feb20f94b5d809a67faf82415cc6b38ca6f03468647'],4bcd7a2cbb4e8c2e9e88f920ab465252b8f8f71cccb6098f14466ee8
1523322322643502267,16,3,15,"Jan 27, 2016 23:34:34",['4bcd7a2cbb4e8c2e9e88f920ab465252b8f8f71cccb6098f14466ee8'],fb72e487a49b8feb20f94b5d809a67faf82415cc6b38ca6f03468647
1523322322643502267,16,3,15,"Jan 27, 2016 18:44:26",['fb72e487a49b8feb20f94b5d809a67faf82415cc6b38ca6f03468647'],4bcd7a2cbb4e8c2e9e88f920ab465252b8f8f71cccb6098f14466ee8
1523322322643502267,16,3,15,"Jan 27, 2016 18:52:38",['4bcd7a2cbb4e8c2e9e88f920ab465252b8f8f71cccb6098f14466ee8'],0ed4e827fcaa19e68b9c8a65c9db39410939b1d92358edd4b6a40174
1523322322643502267,16,3,15,"Jan 29, 2016 17:00:01","['0ed4e827fcaa19e68b9c8a65c9db39410939b1d92358edd4b6a40174', '4bcd7a2cbb4e8c2e9e88f920ab465252b8f8f71cccb6098f14466ee8']",fb72e487a49b8feb20f94b5d809a67faf82415cc6b38ca6f03468647
1523322322643502267,16,3,15,"Jan 29, 2016 14:41:58",['fb72e487a49b8feb20f94b5d809a67faf82415cc6b38ca6f03468647'],4bcd7a2cbb4e8c2e9e88f920ab465252b8f8f71cccb6098f14466ee8
1522402385788792262,2,2,17,"Jan 3, 2016 21:53:32",['76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b'],95f96afcf855c99c7f611ef558e6a20602cfa8c31b1cc194a89fd2d4
1522402385788792262,2,2,17,"Jan 20, 2016 23:37:54",['95f96afcf855c99c7f611ef558e6a20602cfa8c31b1cc194a89fd2d4'],76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b
1522468673429092186,18,6,22,"Jan 4, 2016 15:27:51",['e4c490b23885ae0f6a36a1d6341b3cf1c7b0c3380b9530207299fa3b'],76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b
